"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\aboutus.dart", "Dart", 274, 3, 11, 288
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\burgerdetail.dart", "Dart", 195, 9, 20, 224
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\catalogue.dart", "Dart", 125, 19, 12, 156
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\config.dart", "Dart", 9, 1, 3, 13
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\firebase_options.dart", "Dart", 48, 13, 6, 67
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\main.dart", "Dart", 145, 2, 16, 163
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\whatis.dart", "Dart", 161, 2, 16, 179
"Total", "-", 957, 49, 84, 1090
