"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\aboutus.dart", "Dart", 23, 8, 1, 32
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\burger.dart", "Dart", 3, 0, 1, 4
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\burgerdetail.dart", "Dart", 117, 2, 9, 128
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\catalogue.dart", "Dart", 18, -4, -1, 13
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\config.dart", "Dart", 23, 0, 1, 24
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\main.dart", "Dart", 1, -1, 0, 0
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\wishlist.dart", "Dart", -12, -7, -2, -21
"Total", "-", 173, -2, 9, 180
