"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\aboutus.dart", "Dart", 298, 17, 12, 327
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\burger.dart", "Dart", 18, 1, 3, 22
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\burgerdetail.dart", "Dart", 354, 4, 32, 390
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\catalogue.dart", "Dart", 135, 27, 11, 173
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\config.dart", "Dart", 60, 4, 8, 72
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\firebase_options.dart", "Dart", 48, 13, 6, 67
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\main.dart", "Dart", 163, 2, 16, 181
"c:\Users\Claudia\Documents\GitHub\Burgir-App\burgir_app\lib\wishlist.dart", "Dart", 72, 1, 7, 80
"Total", "-", 1148, 69, 95, 1312
